config,n_corrupt_words,silent_fix_n,flagged_n,misread_n,not_used_n,silent_fix_frac,flagged_frac,misread_frac,not_used_frac
typo25_real10,1964,1572,114,41,237,0.8004,0.058,0.0209,0.1207
typo25_real40,1981,1481,180,61,259,0.7476,0.0909,0.0308,0.1307
typo25_real70,1988,1384,243,105,256,0.6962,0.1222,0.0528,0.1288
typo50_real10,3932,3023,317,100,492,0.7688,0.0806,0.0254,0.1251
typo50_real40,3927,2821,459,147,500,0.7184,0.1169,0.0374,0.1273
typo50_real70,3887,2594,551,208,534,0.6674,0.1418,0.0535,0.1374
typo75_real10,5847,4154,784,196,713,0.7104,0.1341,0.0335,0.1219
typo75_real40,5777,3802,944,291,740,0.6581,0.1634,0.0504,0.1281
typo75_real70,5769,3429,1174,398,768,0.5944,0.2035,0.069,0.1331
