rate,compare,n_both,acc_low_real,acc_high_real,delta_acc,r2w,w2r,mcnemar_p
25,real10_to_real70,476,0.8655,0.8277,-0.0378,46,28,0.04813101
25,real10_to_real40,474,0.865,0.8608,-0.0042,32,30,0.8989403
25,real40_to_real70,477,0.8616,0.8239,-0.0377,40,22,0.03085
50,real10_to_real70,472,0.8263,0.8326,0.0064,38,41,0.8219656
50,real10_to_real40,473,0.8288,0.8288,0.0,35,35,0.90486113
50,real40_to_real70,472,0.8369,0.8284,-0.0085,39,35,0.72728232
75,real10_to_real70,475,0.8126,0.7453,-0.0674,60,28,0.00095108
75,real10_to_real40,474,0.8143,0.7743,-0.0401,54,35,0.05639171
75,real40_to_real70,471,0.7834,0.7495,-0.034,60,44,0.141326
