config,n_both,r2w,w2r,r2w_ratio,w2r_ratio,net_flip_ratio,mcnemar_b,mcnemar_c,mcnemar_stat,mcnemar_p
typo25_real10,473,24,31,0.0507,0.0655,-0.0148,24,31,0.655,0.41849223
typo25_real40,472,28,33,0.0593,0.0699,-0.0106,28,33,0.262,0.60854777
typo25_real70,474,42,26,0.0886,0.0549,0.0338,42,26,3.309,0.06890881
typo50_real10,472,41,27,0.0869,0.0572,0.0297,41,27,2.485,0.11491486
typo50_real40,471,42,28,0.0892,0.0594,0.0297,42,28,2.414,0.1202328
typo50_real70,469,45,29,0.0959,0.0618,0.0341,45,29,3.041,0.08120887
typo75_real10,475,55,36,0.1158,0.0758,0.04,55,36,3.56,0.05917207
typo75_real40,471,63,29,0.1338,0.0616,0.0722,63,29,11.837,0.00058067
typo75_real70,472,75,26,0.1589,0.0551,0.1038,75,26,22.812,1.79e-06
