rate,compare,n_both,acc_low_real,acc_high_real,delta_acc,r2w,w2r,mcnemar_p
25,real10_to_real70,425,0.9176,0.9129,-0.0047,21,19,0.87436706
25,real10_to_real40,429,0.9138,0.9161,0.0023,17,18,1.0
25,real40_to_real70,433,0.9169,0.9007,-0.0162,30,23,0.40984673
50,real10_to_real70,399,0.8521,0.802,-0.0501,52,32,0.03816577
50,real10_to_real40,411,0.8564,0.8418,-0.0146,37,31,0.54428962
50,real40_to_real70,411,0.8345,0.8078,-0.0268,39,28,0.2218232
75,real10_to_real70,346,0.8237,0.7341,-0.0896,56,25,0.00085812
75,real10_to_real40,366,0.8033,0.7978,-0.0055,44,42,0.91412835
75,real40_to_real70,354,0.7994,0.7514,-0.048,42,25,0.05061718
